,Unnamed: 0,Unnamed: 0.1,Building,ClientMacAddr,Level,lat,lng,localtime,datetime,waiting_time
59561,64269,229313,TPS2,7c:8b:b5:c1:e9:ef,Level 3,-22.8142832,-43.24725901,26:24.3,26:24.3,46.0422
59569,64545,230283,TPS2,60:1d:91:ac:6b:d5,Level 3,-22.81446856,-43.24722813,27:22.2,27:22.2,7.133416667
59575,64670,230701,TPS2,fc:64:3a:7a:be:4e,Level 3,-22.8144119,-43.2475399,27:46.3,27:46.3,96.13411667
59578,64708,230825,TPS2,08:c5:e1:07:16:64,Level 3,-22.81434127,-43.24753667,27:55.7,27:55.7,0.364233333
59587,64815,231175,TPS2,e4:2b:34:0e:a5:e3,Level 3,-22.81445134,-43.24739129,28:16.4,28:16.4,54.3463
59590,64866,231327,TPS2,fc:64:3a:4c:37:fe,Level 3,-22.81415246,-43.24719171,28:25.2,28:25.2,40.05701667
59591,64867,231333,TPS2,28:83:35:f0:5b:b5,Level 3,-22.81426828,-43.24728756,28:25.2,28:25.2,72.43075
59595,64967,231689,TPS2,08:8c:2c:29:33:e9,Level 3,-22.81444894,-43.24714477,28:50.2,28:50.2,0
59600,65175,232393,TPS2,f0:c3:71:a7:d6:3c,Level 3,-22.81447847,-43.24723037,29:34.0,29:34.0,34.46978333
59603,65211,232543,TPS2,fc:64:3a:5d:ab:1e,Level 3,-22.81443991,-43.24743582,29:45.4,29:45.4,0
59604,65242,232633,TPS2,20:47:da:61:4e:c1,Level 3,-22.8144045,-43.24756445,29:49.9,29:49.9,50.96846667
59609,65354,232983,TPS2,48:49:c7:f8:e8:de,Level 3,-22.81447774,-43.24750128,30:12.3,30:12.3,0
59620,65588,233733,TPS2,a8:16:d0:dd:f6:5b,Level 3,-22.81423508,-43.24718702,31:01.1,31:01.1,44.1953
59621,65594,233763,TPS2,20:32:6c:05:a3:f6,Level 3,-22.81425713,-43.24730852,31:02.5,31:02.5,0.19545
59628,65732,234271,TPS2,b8:53:ac:8b:22:b9,Level 3,-22.81428168,-43.24751136,31:39.1,31:39.1,49.15595
59638,65896,234823,TPS2,e8:36:17:56:1c:7d,Level 3,-22.81431157,-43.24748953,32:12.8,32:12.8,0
59641,65937,234949,TPS2,7c:8b:b5:56:e1:31,Level 3,-22.81417459,-43.24734192,32:23.8,32:23.8,18.88098333
59642,66028,235259,TPS2,48:49:c7:ac:00:92,Level 3,-22.81423069,-43.24733558,32:41.0,32:41.0,28.62298333
59645,66122,235565,TPS2,00:fc:8b:4a:28:7c,Level 3,-22.81435857,-43.24722099,32:59.5,32:59.5,1.183966667
59651,66228,235913,TPS2,5c:f8:a1:8a:6a:33,Level 3,-22.81432965,-43.24756506,33:23.5,33:23.5,0
59654,66264,236027,TPS2,44:91:60:c6:73:c8,Level 3,-22.81426578,-43.24754257,33:30.3,33:30.3,2.944516667
